2024-09-02,933,майонез,959,4590
2024-05-27,651,томатная паста,208,8720
2024-02-01,600,картофель,716,11
2024-07-17,780,растительное масло,180,2715
2024-05-01,144,макароны,537,2070
2024-09-18,56,картофель,613,2773
2024-05-02,701,сливочное масло,165,6673
2024-06-19,559,растительное масло,401,111
2024-08-08,268,рис,968,2567
2024-09-03,845,яблоки,223,981
2024-07-22,796,яблоки,199,3072
2024-09-29,579,яблоки,153,7717
2024-07-01,309,бобы,313,4786
2024-06-03,729,овсянка,575,2650
2024-07-08,840,мука,810,1164
2024-03-08,297,лук,766,5499
2024-04-27,843,майонез,623,7181
2024-08-22,998,макароны,676,9876
2024-02-12,10,макароны,236,8888
2024-02-27,302,уксус,521,5856
2024-05-16,376,рис,49,4207
2024-08-06,93,бобы,989,2340
2024-04-08,329,овсянка,20,6099
2024-04-19,925,томатная паста,622,4706
2024-10-11,691,яблоки,859,854
2024-02-03,2,бобы,836,3726
2024-01-30,571,картофель,735,5896
2024-01-18,34,сахар,3,1544
2024-04-20,673,овсянка,167,9098
2024-01-28,413,бобы,281,622
2024-09-19,240,картофель,162,182
2024-06-12,206,яблоки,588,464
2024-03-10,11,бобы,663,6895
2024-06-07,73,сахар,192,4697
2024-01-06,746,сливочное масло,937,9856
2024-06-28,368,капуста,264,3158
2024-02-25,468,мясо,242,4003
2024-06-12,119,томатная паста,759,679
2024-06-13,899,картофель,972,8082
2024-02-18,33,яблоки,189,8731
2024-02-10,776,уксус,387,7352
2024-01-12,220,томатная паста,23,4854
2024-03-12,167,мука,663,9845
2024-02-24,735,уксус,704,2338
2024-06-21,898,бобы,856,8198
2024-05-25,127,овсянка,235,9660
2024-02-21,274,сливочное масло,701,1699
2024-01-24,437,капуста,916,9462
2024-08-10,313,капуста,354,7608
2024-07-20,419,растительное масло,470,4921
2024-02-03,591,капуста,606,4299
2024-01-19,1000,лук,72,7869
2024-06-13,138,сахар,495,1136
2024-01-29,235,яблоки,557,8139
2024-09-20,542,томатная паста,135,1493
2024-09-22,434,яблоки,545,7856
2024-03-29,602,мясо,594,1464
2024-10-13,2,растительное масло,920,1565
2024-03-03,346,томатная паста,43,9545
2024-02-04,845,капуста,950,4100
2024-03-01,262,томатная паста,363,4651
2024-02-26,367,мука,225,1311
2024-03-14,594,картофель,936,39
2024-02-16,346,рис,532,7092
2024-01-16,374,майонез,962,1142
2024-02-21,377,сливочное масло,326,2406
2024-03-27,104,овсянка,511,7693
2024-03-07,749,сливочное масло,576,7992
2024-09-12,579,майонез,186,2851
2024-07-18,290,рис,230,7453
2024-08-16,913,макароны,324,5209
2024-08-28,465,капуста,437,1283
2024-05-19,180,майонез,808,155
2024-09-27,379,овсянка,203,1005
2024-05-29,286,яблоки,374,918
2024-02-28,190,бобы,224,6022
2024-07-28,250,мука,104,8765
2024-01-28,838,мука,198,6410
2024-08-17,963,картофель,210,1398
2024-01-12,386,майонез,345,1959
2024-08-31,414,картофель,5,5909
2024-09-21,610,рис,101,6916
2024-08-25,297,растительное масло,397,6820
2024-03-27,783,уксус,705,5039
2024-08-04,680,мясо,571,424
2024-09-14,449,рис,852,3356
2024-09-12,366,картофель,292,91
2024-05-29,132,мука,45,2094
2024-04-19,997,капуста,558,7475
2024-02-13,375,мука,14,3813
2024-06-06,124,капуста,533,4207
2024-04-10,336,мясо,750,7075
2024-07-02,608,яблоки,786,6871
2024-09-05,458,уксус,584,5078
2024-05-29,239,майонез,864,9555
2024-02-16,450,капуста,160,7111
2024-10-13,639,майонез,416,8781
2024-09-01,305,томатная паста,270,4001
2024-05-13,391,растительное масло,227,4104
2024-03-18,285,мясо,372,3530
2024-05-16,478,лук,730,1364
2024-08-08,399,капуста,389,3376
2024-03-17,945,мясо,567,595
2024-05-26,473,рис,42,768
2024-08-21,737,мука,140,3612
2024-08-06,844,майонез,98,9487
2024-05-30,390,томатная паста,737,1748
2024-07-24,312,лук,871,6366
2024-07-01,99,рис,517,4167
2024-04-10,193,томатная паста,243,4371
2024-02-18,238,макароны,997,615
2024-05-09,30,рис,150,9566
2024-04-06,465,растительное масло,477,5575
2024-03-13,706,яблоки,526,2630
2024-05-18,966,рис,194,5161
2024-01-07,44,рис,489,725
2024-09-07,163,рис,623,3685
2024-09-10,715,уксус,857,607
2024-02-19,552,картофель,474,4401
2024-04-11,350,майонез,610,3789
2024-02-27,168,растительное масло,644,5745
2024-01-01,760,макароны,53,3827
2024-03-04,374,мука,893,9412
2024-07-15,967,яблоки,485,7799
2024-08-11,863,лук,55,1263
